student_id,attendance_percentage,quiz_score_avg,assignment_score_avg,midterm_score,historical_gpa,study_hours_per_week,participation_score,subject_difficulty_score,semester_number,final_score,pass_fail
aadbd4ed-0613-4190-9f1e-93b04b813e79,88.52,79.21,81.67,81.58,3.97,21.3,82.84,0.394,8,72.74,1
e8e8bd20-a92d-4c8a-b63b-f4f522476440,91.95,64.88,82.72,81.53,3.59,30.0,86.63,0.5650000000000001,6,77.73,1
2db028fa-ad5b-4a47-a479-131ae1f64d59,80.17,55.86,63.87,70.04,2.54,15.6,79.08,0.316,6,66.84,1
6c1668cf-89b0-4715-bc1f-9c1d59774d71,90.01,59.24,64.21,59.09,2.0,17.6,76.13,0.782,1,60.06,1
28439eb6-f92f-4dc9-93cd-7f85d4b445dd,68.3,63.87,63.33,57.41,2.21,23.8,77.4,0.11399999999999999,3,65.12,1
63696b2c-16ea-4cdb-a973-b8316704857b,82.61,73.08,67.29,68.51,3.31,24.5,81.01,0.449,4,71.12,1
a2b1f844-5635-4806-b69d-2727b3695d14,93.72,69.8,65.54,55.9,3.01,18.9,75.64,0.135,2,63.43,1
46f25401-029b-432f-a5e7-a5597b912604,88.91,61.5,60.37,67.99,2.97,23.7,74.46,0.89,4,66.24,1
a474566b-362c-4af8-9e69-c6911daa4773,84.18,72.81,54.59,73.33,3.08,17.5,83.94,0.8800000000000001,8,61.49,1
fce41c49-709f-443f-82f8-934478d1e9dd,95.04,78.53,78.5,81.98,3.61,30.5,87.45,0.388,3,82.6,1
99aeaedb-302a-489a-b9ec-ea3f1aa95575,88.69,57.97,47.26,70.41,3.54,18.5,94.51,0.9720000000000001,1,63.8,1
a377bc70-da99-4112-a54c-e587ad2e369a,91.65,60.07,59.13,54.23,2.46,15.1,81.86,0.9880000000000001,8,60.33,1
25c79b7e-982c-403e-8530-8e0fa030afc9,85.72,70.3,58.36,48.74,2.77,24.7,73.67,0.491,5,59.18,0
54253147-b406-42e8-9acb-977a8d8584d1,65.4,55.93,62.42,60.61,2.81,19.2,80.71,0.357,8,52.73,0
c74d27ac-a24f-4e45-a48f-a299514e7cf6,93.07,76.97,78.41,74.67,3.4,30.8,78.66,0.726,1,77.65,1
ec7c7ec5-3239-4f8c-bf65-60ee9e462bac,83.31,82.85,88.95,73.66,3.82,20.1,81.47,0.353,8,77.08,1
33c057fd-2a86-4877-b804-39711343a3aa,68.74,52.47,54.77,49.85,3.17,17.5,73.61,0.33399999999999996,3,51.0,0
736b6639-f36d-4855-bc8b-11fd753037f1,89.44,50.51,50.29,52.4,2.37,16.8,91.81,0.9390000000000001,2,52.9,0
a8f808fe-7310-42c3-9248-1b946c9838d7,79.39,65.58,73.54,62.06,3.46,27.2,74.45,0.133,7,69.72,1
e6c36e2a-229c-4256-b649-1f3bed8fc261,74.57,63.97,61.35,67.24,2.63,28.4,78.86,0.646,6,66.8,1
6688172d-648b-4780-a660-ee8da350236a,66.64,49.56,65.88,64.3,3.43,27.8,83.31,0.532,7,66.77,1
0ff3fc79-5c90-4f70-b3ba-9538c6895fbf,91.43,84.01,77.34,77.38,3.06,25.3,91.55,0.914,4,71.45,1
29a9b218-e7c0-4b87-82d0-3d9fc57e540d,96.87,85.78,75.16,90.33,3.97,26.7,83.69,0.16,5,85.96,1
782b795e-906a-48b3-acbd-4f736949baf5,99.3,48.34,40.64,50.1,2.19,13.4,72.48,0.41100000000000003,3,54.58,0
e664ebc8-c3a3-4c09-8a43-7e8684be4a03,99.06,70.19,79.06,73.19,3.71,23.1,80.41,0.581,4,73.5,1
42fc212f-02c1-45e9-96e1-60f97a2d7308,72.22,52.44,63.29,64.03,3.13,17.2,89.64,0.8859999999999999,7,60.63,1
f05d69c2-184c-4686-99b0-da7711b1076f,83.78,65.21,65.27,65.87,3.44,25.5,83.2,0.86,3,64.46,1
2a13f934-c105-4368-b543-3689d2c8e128,83.62,59.11,55.41,64.36,2.67,16.0,68.62,0.39,7,61.4,1
0b2b297c-5a2b-4622-a700-ca886a85bc61,73.16,53.85,44.64,62.97,2.19,20.1,92.5,0.602,8,60.22,1
3abcc91e-e464-4442-8ded-607dfc6de8d1,80.11,57.68,67.56,52.43,2.21,27.9,87.53,0.645,1,62.98,1
1731d35d-e6db-4397-bbcf-35ecf7c91745,94.78,47.09,49.19,43.56,2.13,19.9,84.53,0.5820000000000001,2,58.22,0
1be53165-b373-41ad-b0ea-bd1b520f1855,74.8,60.61,53.56,46.29,2.18,15.9,80.38,0.65,8,55.35,0
ccf5fe0f-6754-4339-9276-06babefefbcd,97.62,63.67,49.69,52.87,2.0,21.0,68.8,0.716,4,60.74,1
4fe2489c-773c-4ff8-9bf3-4a24c8401f37,73.91,77.4,70.21,88.62,2.88,30.7,71.74,0.8480000000000001,4,76.63,1
763e9955-1acf-4b40-8b77-0af37d66bec2,99.68,63.61,59.0,65.68,3.0,16.3,84.63,0.775,4,67.2,1
001aa61a-e916-49f2-ae40-e379329e5971,70.73,64.55,68.23,79.31,3.38,22.0,77.39,0.835,7,68.97,1
2df511d7-532b-4a72-8c2e-304b20c5baf0,86.84,56.55,75.34,56.36,3.37,21.8,74.02,0.306,7,65.71,1
737eb938-50bf-4a8c-8e73-7ab467f23455,69.09,67.2,60.06,62.09,3.17,23.3,89.98,0.905,4,65.85,1
3f9791bf-72f2-4da2-a30d-5d107f7e275d,70.01,72.78,65.2,79.77,3.24,19.1,62.04,0.511,4,69.41,1
742135a3-41fe-44a3-b393-bb627e7d4209,78.91,62.22,63.69,54.09,3.02,24.0,90.85,0.588,3,67.2,1
44566aba-7434-4203-88b6-7487252778ed,98.57,64.62,66.38,59.22,2.92,24.9,77.85,0.753,3,65.83,1
919d1508-275b-452f-b944-4a029cced108,97.62,86.13,84.08,85.52,3.77,28.2,70.88,0.48200000000000004,5,80.87,1
7ab3ccbe-877c-4e48-b7c6-1c821460f773,71.52,56.4,63.31,52.07,2.52,22.7,91.18,0.28500000000000003,1,59.58,0
1994a20b-f80f-4fbe-be04-285032569f48,65.16,44.89,57.06,53.24,2.14,23.2,69.64,0.507,3,55.89,0
be6f161e-77fd-4efa-9557-2d997e6d6384,70.79,45.76,53.31,44.36,2.11,19.0,79.7,0.602,6,53.39,0
717e52a1-4cdb-414c-b7ab-bb3ad0eb3143,67.99,63.5,59.38,63.7,2.72,27.7,85.39,0.28500000000000003,5,61.06,1
1b2fa5f4-f774-42ae-a4d6-995305256b04,94.28,71.58,83.13,80.9,4.0,26.5,75.49,0.7889999999999999,4,66.12,1
2e17c0c0-bf18-42e6-9a14-0a5e770eb602,71.37,46.65,44.44,60.14,2.64,13.0,90.17,0.3,8,55.43,0
a1a6ae8b-9839-4452-b599-dbc3b77cb001,85.83,56.74,42.29,51.9,2.65,22.0,90.0,0.966,4,57.88,0
27221d03-c736-4924-acb6-900fd8a3c580,88.38,55.16,50.71,69.12,2.3,19.4,73.47,0.631,4,60.24,1
e072347c-1f51-4c88-8431-5a6d1083bc40,92.08,80.2,73.35,72.83,3.45,25.8,79.84,0.264,2,77.54,1
5afeaec5-0139-4739-a62e-36f29ad31a74,65.79,56.59,58.63,69.99,3.13,29.5,78.53,0.5730000000000001,5,67.05,1
3d65b366-3c94-4b55-af88-873c7dcc8ef1,93.79,83.67,77.27,71.87,3.43,24.0,94.49,0.196,6,79.25,1
5980b9b9-1288-4aad-921d-9c6efb95e7e5,69.79,85.41,73.12,81.6,3.58,24.9,86.45,0.567,8,76.74,1
264acdfc-60cd-4157-b94b-4e07e18212a3,71.45,62.89,60.95,66.96,2.86,25.1,84.33,0.457,8,65.86,1
6b1daf36-a339-49ac-b61f-3e6ac29f67c2,97.79,62.94,55.42,58.27,3.36,18.3,79.23,0.794,5,58.85,0
07f6c63c-04ff-4a6d-b94e-2e7dd04f4419,79.45,56.29,59.7,46.4,2.37,13.8,87.89,0.966,1,53.6,0
809d934c-728a-4faa-b6fb-59b80c3b64b1,98.26,54.23,59.36,53.88,2.64,21.4,84.95,0.7230000000000001,6,66.28,1
b7d5e94b-320a-4fa0-adcd-d182849d2206,66.81,70.23,72.82,65.05,4.0,22.5,82.86,0.273,8,66.45,1
8be90761-a80d-4d34-b4c9-0e636545d6ca,98.99,70.4,66.25,65.7,3.21,16.4,75.87,0.637,3,65.58,1
4e899037-7c60-484b-857e-d60f46a5bc21,95.97,76.75,93.09125,94.50125,3.43,32.5,96.34,0.764,1,87.97875000000002,1
3855c8ad-a854-4db4-9504-36073ac900d4,96.01,57.68,57.06,52.93,2.75,18.0,74.53,0.532,1,55.93,0
36773f1a-fb71-4092-91af-0a8c1f2f7d33,78.94,68.12,66.07,79.77,3.24,17.4,65.11,0.868,2,65.52,1
eb8c24da-070c-4772-b597-c3cab78c2d15,73.18,64.34,70.81,56.99,3.23,28.2,78.29,0.521,5,65.0,1
29f977e8-403a-45cc-aacf-db4128df9f64,94.32,63.8,57.23,56.61,2.64,26.9,83.75,0.667,7,66.79,1
99e186fc-cad2-480c-97cd-c7be7e9de977,95.93,57.66,66.6,68.3,2.9,18.0,76.99,0.301,7,67.27,1
20edc20a-22b2-4218-8b1c-25efc1c2fb3c,78.69,73.53,65.77,74.26,3.37,30.8,72.75,0.327,6,75.24,1
998e68e6-7118-4232-aac4-99c53f754c32,74.09,72.29,60.59,64.43,2.93,22.2,89.51,0.633,2,71.73,1
0e951232-fb49-413a-959e-0e8e20d1153d,84.03,74.54,75.55,78.89,3.31,21.2,77.87,0.40099999999999997,5,73.44,1
02c22f6b-1e7e-4393-87d6-606421078591,89.41,82.65,71.52,77.51,3.26,28.1,73.33,0.24500000000000002,4,82.11,1
e511ccd3-6cc2-40c7-af56-2a603d4725a0,74.05,69.96,57.24,65.0,2.83,16.9,78.23,0.355,7,64.35,1
f5b58b5e-5609-4521-a89e-4ac75aca05c8,83.94,65.63,66.82,64.6,2.78,19.7,81.55,0.737,6,65.01,1
1c14a752-f9ec-4572-aff3-e51fd046c3e6,67.03,89.28,76.23,70.2,4.0,21.3,76.41,0.837,3,74.2,1
cb9b0fc8-cf7c-467f-8b76-3805f9169f1c,88.92,48.5,43.2,47.5,2.43,14.8,87.9,0.174,6,54.19,0
cda4653d-f63c-492c-bf7f-14b51fe5289f,95.38,65.77,63.94,60.07,3.27,19.2,89.31,0.771,3,63.54,1
56cb556f-e403-49f7-b11a-30f8d46a7678,66.09,58.37,50.41,57.3,2.53,23.0,83.65,0.86,4,58.53,0
b2e826d8-1e81-4729-b850-8017fae4a60e,98.86,64.21,57.35,54.86,3.02,22.6,75.41,0.686,5,62.29,1
39d21919-33ab-48ba-8645-b1659ae286f7,74.41,62.93,56.21,57.2,2.63,20.7,74.49,0.64,8,63.33,1
aaa9999c-1600-45e0-9f17-fe623e24a1b2,98.34,75.22,75.69,69.23,3.39,19.1,77.41,0.534,4,73.19,1
963e3de8-51c3-487a-8505-4077094ba89a,89.59,64.08,64.32,50.59,2.78,15.9,74.54,0.17099999999999999,6,64.76,1
45ecc64b-2d2c-403d-9b81-32dde60052d9,93.75,58.26,55.32,57.24,2.8,21.7,67.73,0.942,8,62.45,1
34deb5b1-d78b-4cf0-abb4-02594782590f,89.99,66.23,60.55,65.14,2.65,23.0,90.54,0.5740000000000001,2,73.03,1
4928e2eb-34aa-4b56-bc9a-d65025c1fb29,85.76,59.73,71.4,50.81,3.07,21.0,84.57,0.49000000000000005,8,65.05,1
c18c0391-d896-4a51-8129-36d482d23abf,82.44,82.6,80.85,81.55,3.86,21.1,71.82,0.128,1,76.86,1
6fb981b0-7cf7-4836-be31-d1e58aee84bb,98.63,76.12,68.35,77.55,3.32,26.8,100.0,0.563,1,78.98,1
70d2bd45-2b89-4763-ae11-601c219b94bc,80.35,72.51,55.09,59.59,3.15,18.5,81.43,0.661,8,61.52,1
bc5ba9b1-2c0b-4587-ae19-4145f5e42dad,92.16,80.21,63.78,62.88,3.64,24.2,74.37,0.493,6,69.89,1
4a063195-9c41-4df2-a0cf-efb3dfac1499,95.48,59.52,79.02,62.52,3.17,30.5,71.04,0.33199999999999996,5,71.51,1
24f396df-00db-404e-8951-1fae521f3b4b,85.95,57.52,61.27,66.29,2.82,21.5,75.27,0.702,1,57.82,0
4f134ba5-404f-4d77-9585-ca76c070eb95,80.08,63.39,66.09,73.36,3.48,23.7,89.78,0.86,4,71.43,1
71b298d7-3e89-4400-b627-76ff1bca001e,84.53,61.15,63.46,55.48,3.07,18.0,93.73,0.458,2,66.21,1
92c16406-fb92-49a2-9297-6e1b89b12446,98.78,77.3,80.02,57.3,3.96,20.0,78.88,0.127,5,71.28,1
76904561-da84-42ad-8be0-a7faf1fdeaee,71.59,64.18,70.34,72.84,2.8,29.9,79.18,0.32,2,70.24,1
1b8cc8ce-ae73-4f90-9b51-71c3f9b45659,95.41,63.11,62.84,63.93,2.44,23.5,85.35,0.454,5,62.83,1
431ce89c-37a5-4673-a80a-b07af72d6ef2,70.58,63.51,76.55,70.11,3.41,22.0,82.42,0.7889999999999999,4,64.78,1
f7af3781-7f4b-4262-8a25-3012710f285c,88.37,74.64,69.31,78.83,3.16,24.5,81.0,0.10500000000000001,7,79.97,1
61a50988-9da7-4527-b387-9b360bf3270c,84.72,83.86,68.83,86.08,4.0,25.6,80.33,0.252,6,77.99,1
39b9b745-2cb7-4610-af6b-a693ee97f104,86.68,41.85,44.25,49.83,2.0,15.0,79.84,0.442,2,48.0,0
4e9c28f0-eeca-462a-aba6-473eaf3f7d9b,81.68,71.4,55.07,70.94,3.32,23.2,77.84,0.907,5,69.44,1
73d826a9-dfff-44fa-9b3d-74b9b3bd8c50,96.43,67.59,63.38,64.96,2.49,20.0,79.21,0.377,7,75.99,1
80de157f-d76f-4d31-8d1c-6550f9f5fb37,68.14,67.95,79.73,65.86,3.38,29.5,75.68,0.366,1,71.66,1
d112dfde-aa7e-4830-8c31-eb31f86cfe82,84.86,77.43,74.97,78.28,3.68,27.2,81.11,0.837,6,78.78,1
b43d3ef9-a1af-412e-b7a9-c61d275c8561,87.63,67.13,63.66,69.87,3.21,24.2,73.14,0.759,4,64.32,1
a8392ec8-9a08-4afe-9754-dfeb31e36432,79.83,59.81,53.7,70.39,2.31,24.0,82.48,0.877,7,59.37,0
f27f0288-daa3-46c3-ac5f-e6c5d6893f1a,75.93,61.69,61.85,57.02,3.24,24.6,85.34,0.708,2,57.96,0
3002fb3c-e343-4ae6-8d4c-8f3e537a5c10,79.99,78.81,74.85,70.17,2.87,19.4,84.51,0.177,1,68.33,1
d6838dc4-d582-468a-ac97-cd8c9448ac7f,77.84,84.21,70.98,86.39,3.55,28.5,81.57,0.344,8,76.86,1
fcaf6fe4-dda8-4026-856a-c1bcf8eb4a54,87.78,49.59,52.61,38.38,2.61,17.3,83.35,0.154,4,59.51,0
ba779e12-5724-451c-a770-e62be37ae4ac,70.97,61.61,60.51,55.75,3.09,19.2,86.92,0.319,6,63.9,1
0d656153-89d1-4103-a894-7ba97ee9d885,83.23,59.37,54.94,59.3,2.79,23.4,84.66,0.133,1,62.26,1
434c0b60-15cd-497e-b82e-ba8531c82f68,78.33,47.58,49.41,60.42,2.47,16.8,83.59,0.617,4,55.06,0
0865d952-8017-41a0-8399-db53d8d74a19,94.8,66.96,71.34,64.52,3.06,26.5,82.57,0.374,1,70.48,1
b77cc91f-8f37-4147-9ce2-2ec33978abc7,98.51,65.94,61.93,56.3,3.51,18.8,71.81,0.908,6,64.02,1
11d10619-1981-423d-86e3-e29d38c33809,71.12,40.76,37.64,33.71125000000001,2.04,15.6,80.43,0.381,6,44.13,0
a58ad6db-1b8e-4b2b-9f23-c1436dc3ce7c,94.8,64.13,78.18,78.42,2.61,20.0,79.37,0.779,7,67.99,1
3beab038-bdd3-4c7b-b2af-0d759679d027,89.33,58.87,57.64,60.07,2.74,25.1,80.02,0.654,4,65.19,1
bd7b26d9-54ec-409f-aba7-6cb46a7a2bb0,94.68,61.84,59.71,65.89,2.2,18.1,64.45,0.259,5,73.29,1
8990533d-fd01-48a7-a1bd-11461a6a7bdb,91.93,65.15,63.39,64.81,3.2,17.7,73.63,0.5820000000000001,1,68.37,1
1cc7d7a1-4aff-45d5-81e3-fd753aa9f270,87.03,60.5,58.25,64.86,2.35,21.3,74.5,0.21400000000000002,2,63.86,1
5c7e8154-9036-4fd6-bd95-7f8c8c9c8481,76.36,70.96,55.29,52.29,3.32,27.2,78.33,0.96,1,62.38,1
977ea0a2-4810-419c-a141-d62b79ded6e6,93.31,67.01,65.46,66.41,3.07,26.6,79.85,0.44800000000000006,6,74.25,1
f59cbf44-3d1f-434e-a77d-835935823327,87.28,60.67,53.12,58.96,2.71,23.3,93.78,0.13799999999999998,1,67.96,1
695db9fe-d0b5-41b2-8731-b962855372e4,93.07,65.34,78.19,78.51,3.46,31.6,71.39,0.595,6,70.05,1
5536af64-c526-4ce6-848d-3310923be5cb,91.75,71.44,67.82,83.75,3.27,26.4,77.99,0.7969999999999999,1,74.09,1
6da286b2-e9f3-45f9-b472-ef3ec7b84599,96.35,68.22,69.69,65.09,3.17,23.7,80.33,0.655,2,72.53,1
768000bd-58a9-449f-bf94-78735fa53776,69.48,66.88,65.18,60.61,2.66,25.3,64.42,0.9490000000000001,6,61.92,1
08a8badf-4dce-4d9a-a50e-9f4bd0ddc967,82.36,63.4,74.96,67.06,3.33,24.3,70.07,0.9810000000000001,6,68.18,1
8f68442d-1025-4ebb-bae6-cce0c73852bd,90.5,77.91,72.57,63.63,3.35,28.2,74.79,0.292,3,72.09,1
eea80061-da0a-4092-99ff-e21f25c57500,79.47,59.98,59.6,49.77,2.63,15.7,81.3,0.889,5,54.54,0
26d96dde-e84f-4005-aee9-b9200dd781b6,70.6,60.74,64.87,55.1,3.23,18.1,76.62,0.6,8,60.98,1
8172569b-53aa-49fb-b7e6-bed8d8f99840,89.08,79.98,65.33,83.48,3.47,29.8,86.62,0.7110000000000001,8,79.39,1
f2329c86-b130-449a-96ac-af5e9526b67f,70.21,67.67,78.42,67.56,3.32,22.8,87.46,0.471,8,68.43,1
a644f560-4fda-4acd-a1a2-fffceb3ebc40,78.57,65.48,58.89,70.66,2.8,16.4,85.87,0.148,8,63.79,1
192ed622-c966-4148-ab32-5dd7608f1d38,88.68,64.32,59.36,66.74,3.02,23.7,74.81,0.8099999999999999,8,58.35,0
116190e2-31c1-452b-8ddf-242fc8e630c7,69.28,61.83,70.29,62.98,3.05,27.3,86.18,0.369,1,69.56,1
16665953-882e-411e-9456-41c5e047b0dc,79.74,78.36,74.47,69.94,3.35,26.4,88.71,0.629,1,74.45,1
8455df29-a533-4e92-b116-8fa4b00a1027,70.79,67.15,71.93,73.62,3.19,28.2,76.71,0.43899999999999995,8,71.79,1
f72c5bcf-0860-4cec-947d-44cd166dffcd,71.51,68.45,55.83,61.0,2.93,22.0,76.97,0.493,1,61.03,1
c909600a-84f0-4e4e-8bcb-1bc1d7d655ec,78.96,60.96,64.9,54.85,2.52,25.4,79.47,0.48600000000000004,1,64.13,1
00ab222f-136f-458c-acf3-7f9e64783c5f,92.18,62.4,53.34,70.32,3.16,16.2,77.75,0.697,4,67.47,1
83b0d741-5111-44ec-8127-b1514671e523,92.57,62.47,73.96,56.61,2.97,19.5,82.46,0.9710000000000001,5,64.54,1
1f6ea7c3-063a-4231-bc8c-c57e32caf366,68.99,56.3,62.05,56.11,3.08,16.5,100.0,0.874,2,63.37,1
1a3bdf06-52cf-40a2-b46d-e435d91431e7,84.21,60.33,69.43,65.02,3.38,18.3,71.01,0.188,8,68.13,1
9acfc624-5881-49d8-bc18-e8fe102e03dd,79.41,80.27,70.03,65.52,3.16,18.2,91.0,0.808,8,71.69,1
535029f3-7235-433a-9b13-c7ec64146c85,84.07,65.82,65.34,55.08,2.94,18.5,80.69,0.776,1,64.49,1
1c055ea6-c6c8-488f-9b21-e489d022ebb9,65.95,58.16,62.36,67.3,2.63,24.4,79.96,0.8400000000000001,2,61.5,1
ef1cf858-4f1d-4dfc-b3e8-0ab022e99441,71.85,61.74,51.47,49.1,2.24,22.2,58.80000000000002,0.602,2,58.1,0
1204a66c-42d4-4669-a55e-2b1b9d139b54,76.09,58.88,55.82,62.94,3.43,16.3,71.46,0.8939999999999999,4,55.58,0
5cdc58e1-47cc-4dfb-89b1-9b8275f952aa,99.59,72.43,77.04,71.39,3.78,31.7,83.12,0.184,4,76.34,1
56e27234-41c7-42ba-93e7-f192acb62022,90.18,61.76,59.24,59.11,3.15,18.2,82.81,0.524,7,59.65,0
ef75904b-cc22-4c66-9212-68a23cb1b583,73.9,74.0,74.17,64.04,3.45,20.1,81.95,0.47800000000000004,2,67.09,1
cb342429-3427-4c14-8bc6-fd4dc869631d,77.18,77.0,85.07,88.35,3.93,26.0,76.55,0.9810000000000001,3,75.85,1
df40aae2-383f-437c-9f34-b0b54aacd532,65.13,51.58,58.61,61.24,2.55,17.2,75.25,0.787,5,55.53,0
c880cece-b36f-450d-a34b-ab5d055ac288,87.86,75.53,65.86,76.74,3.34,25.0,85.2,0.2,8,71.09,1
a8313ee4-2a8a-4480-b1a5-3d4da6875cde,78.36,57.85,53.51,57.69,3.13,14.8,76.76,0.97,6,56.13,0
0bdf3fb7-31ad-4e03-be9f-feb86316378f,95.04,70.08,74.5,74.12,2.88,28.0,88.69,0.353,7,72.1,1
ab8e37cf-aadc-4263-ac6c-c0fb2ff3b14d,69.21,59.92,59.36,60.92,2.67,19.1,85.96,0.639,3,57.96,0
c9a38d35-ca9e-494f-b29b-2d668635bdcb,96.6,75.34,74.71,71.06,3.35,17.5,74.81,0.625,8,73.1,1
4c367679-c6e9-4888-b8e2-5604910e2164,88.06,74.21,74.63,88.51,3.51,26.2,71.04,0.40700000000000003,4,77.24,1
2c0b7773-75ed-4d39-bf64-8c9898bf2be0,80.52,85.66,87.55,83.98,3.65,21.2,67.18,0.446,5,77.78,1
688462aa-5db1-4dc8-b69a-24bb5255454a,99.43,48.55,42.41,49.78,2.07,23.6,78.52,0.505,5,52.76,0
20337126-a567-4376-8ead-a46620ac9af8,81.87,62.65,64.18,64.51,3.08,17.2,80.05,0.29700000000000004,3,63.82,1
45651fb4-8bf5-465d-81ea-73812a77b42c,81.2,64.41,70.02,68.51,3.24,21.5,75.35,0.836,5,68.73,1
d5afb7b6-0557-473b-9773-1eb16f12b21b,77.08,73.85,83.43,73.67,3.19,24.1,67.89,0.47000000000000003,8,69.22,1
7c036aeb-9936-4280-a47a-df765a5d8315,88.61,78.57,68.16,77.75,3.46,18.5,76.98,0.6990000000000001,1,73.76,1
101179d7-2d74-432b-ad49-376fa3f058dd,80.97,55.12,63.61,52.62,2.73,22.6,78.65,0.7110000000000001,2,60.76,1
68d55fd3-c301-45c1-8287-af355e8e0be2,82.58,71.6,71.47,81.02,3.56,25.1,84.47,0.579,3,76.86,1
f3b2f3d2-6034-431e-8b69-e4a058f8e304,82.01,60.33,60.1,52.77,3.1,23.2,73.07,0.861,6,58.74,0
ade48e6a-bd38-4208-a273-371c1a2f5319,67.72,78.0,73.53,64.72,3.54,23.6,97.53,0.783,7,65.47,1
ec7d433a-b686-4268-ba11-a30b1f06b024,76.16,53.26,54.49,50.67,2.0,13.8,91.86,0.487,4,56.12,0
588aad10-a973-40d2-b8e7-b9b94e85dd9e,83.1,75.21,66.11,63.25,3.19,28.0,89.78,0.622,6,70.76,1
3e9a9929-d514-4d25-a2ec-a9a49f43fc2c,80.89,59.47,54.36,56.23,2.77,19.1,80.05,0.135,6,61.1,1
7d68ff06-8ce2-4b89-a19e-01667cdd3e09,78.84,66.76,68.74,64.38,3.25,28.6,68.77,0.5269999999999999,6,62.99,1
2bbb2f43-56db-4b89-b81f-781235da6256,86.1,44.13,53.17,37.6,2.36,19.3,70.56,0.786,3,49.5,0
33bb05c5-51c8-4e3a-b424-b912888ee642,93.94,71.47,78.2,87.38,3.4,21.5,81.37,0.24900000000000003,7,82.59,1
6cb6c4ae-a615-4329-b242-2160b812faf6,69.87,77.05,69.75,81.18,4.0,29.0,95.67,0.281,5,76.58,1
a8d0f5d0-ba5d-49f4-8ad9-f6e7f3dd87fd,89.88,73.54,72.4,60.61,2.29,16.3,82.61,0.152,8,74.72,1
f3b8b0c2-fc85-4e9b-9a4e-43815e37fc7b,74.65,56.71,62.32,64.61,2.97,20.6,88.37,0.357,1,58.64,0
659b46b3-0d84-4ea6-a0d5-f228ebe7e740,86.2,81.75,86.44,86.43,3.86,26.6,96.88,0.632,7,78.96,1
