student_id,attendance_percentage,quiz_score_avg,assignment_score_avg,midterm_score,historical_gpa,study_hours_per_week,participation_score,subject_difficulty_score,semester_number,final_score,pass_fail,attendance_tier,gpa_tier,ca_avg,rule_risk_score,midterm_relative
e664ebc8-c3a3-4c09-8a43-7e8684be4a03,99.06,70.19,79.06,73.19,3.71,23.1,80.41,0.581,4,73.5,1,3,3,74.625,0.160315,3.938888888888883
42fc212f-02c1-45e9-96e1-60f97a2d7308,72.22,52.44,63.29,64.03,3.13,17.2,89.64,0.8859999999999999,7,60.63,1,0,3,57.864999999999995,0.345435,5.948392857142856
f05d69c2-184c-4686-99b0-da7711b1076f,83.78,65.21,65.27,65.87,3.44,25.5,83.2,0.86,3,64.46,1,2,3,65.24,0.27155,-0.1280000000000001
2a13f934-c105-4368-b543-3689d2c8e128,83.62,59.11,55.41,64.36,2.67,16.0,68.62,0.39,7,61.4,1,2,2,57.26,0.30066,2.1060000000000016
0b2b297c-5a2b-4622-a700-ca886a85bc61,73.16,53.85,44.64,62.97,2.19,20.1,92.5,0.602,8,60.22,1,0,1,49.245000000000005,0.370715,4.613636363636367
3abcc91e-e464-4442-8ded-607dfc6de8d1,80.11,57.68,67.56,52.43,2.21,27.9,87.53,0.645,1,62.98,1,1,1,62.620000000000005,0.33440999999999993,3.9299999999999997
1731d35d-e6db-4397-bbcf-35ecf7c91745,94.78,47.09,49.19,43.56,2.13,19.9,84.53,0.5820000000000001,2,58.22,0,3,1,48.14,0.34578000000000003,-21.45125
1be53165-b373-41ad-b0ea-bd1b520f1855,74.8,60.61,53.56,46.29,2.18,15.9,80.38,0.65,8,55.35,0,0,1,57.085,0.39067500000000005,-16.628750000000004
ccf5fe0f-6754-4339-9276-06babefefbcd,97.62,63.67,49.69,52.87,2.0,21.0,68.8,0.716,4,60.74,1,3,0,56.68,0.28087,-3.976000000000006
4fe2489c-773c-4ff8-9bf3-4a24c8401f37,73.91,77.4,70.21,88.62,2.88,30.7,71.74,0.8480000000000001,4,76.63,1,0,2,73.805,0.21708499999999997,21.11857142857143
763e9955-1acf-4b40-8b77-0af37d66bec2,99.68,63.61,59.0,65.68,3.0,16.3,84.63,0.775,4,67.2,1,3,2,61.305,0.2203249999999999,9.737500000000004
001aa61a-e916-49f2-ae40-e379329e5971,70.73,64.55,68.23,79.31,3.38,22.0,77.39,0.835,7,68.97,1,0,3,66.39,0.27997999999999995,7.527500000000003
2df511d7-532b-4a72-8c2e-304b20c5baf0,86.84,56.55,75.34,56.36,3.37,21.8,74.02,0.306,7,65.71,1,2,3,65.945,0.285725,-7.402000000000001
737eb938-50bf-4a8c-8e73-7ab467f23455,69.09,67.2,60.06,62.09,3.17,23.3,89.98,0.905,4,65.85,1,0,3,63.63,0.34647999999999995,-6.342500000000001
3f9791bf-72f2-4da2-a30d-5d107f7e275d,70.01,72.78,65.2,79.77,3.24,19.1,62.04,0.511,4,69.41,1,0,3,68.99000000000001,0.2736799999999999,4.0719999999999885
742135a3-41fe-44a3-b393-bb627e7d4209,78.91,62.22,63.69,54.09,3.02,24.0,90.85,0.588,3,67.2,1,1,3,62.955,0.333225,-9.799999999999997
44566aba-7434-4203-88b6-7487252778ed,98.57,64.62,66.38,59.22,2.92,24.9,77.85,0.753,3,65.83,1,3,2,65.5,0.23156000000000002,-1.1679999999999993
919d1508-275b-452f-b944-4a029cced108,97.62,86.13,84.08,85.52,3.77,28.2,70.88,0.482,5,80.87,1,3,3,85.10499999999999,0.09764500000000002,9.492499999999993
7ab3ccbe-877c-4e48-b7c6-1c821460f773,71.52,56.4,63.31,52.07,2.52,22.7,91.18,0.285,1,59.58,0,0,2,59.855000000000004,0.378145,-11.298333333333332
1994a20b-f80f-4fbe-be04-285032569f48,65.16,44.89,57.06,53.24,2.14,23.2,69.64,0.507,3,55.89,0,0,1,50.975,0.426715,-11.800000000000004
be6f161e-77fd-4efa-9557-2d997e6d6384,70.79,45.76,53.31,44.36,2.11,19.0,79.7,0.602,6,53.39,0,0,1,49.535,0.43515499999999996,-13.996363636363633
717e52a1-4cdb-414c-b7ab-bb3ad0eb3143,67.99,63.5,59.38,63.7,2.72,27.7,85.39,0.285,5,61.06,1,0,2,61.44,0.35262,0.33166666666667055
1b2fa5f4-f774-42ae-a4d6-995305256b04,94.28,71.58,83.13,80.9,4.0,26.5,75.49,0.7889999999999999,4,66.12,1,3,3,77.35499999999999,0.148115,14.582222222222228
2e17c0c0-bf18-42e6-9a14-0a5e770eb602,71.37,46.65,44.44,60.14,2.64,13.0,90.17,0.3,8,55.43,0,0,2,45.545,0.39746499999999996,7.649999999999999
a1a6ae8b-9839-4452-b599-dbc3b77cb001,85.83,56.74,42.29,51.9,2.65,22.0,90.0,0.966,4,57.88,0,2,2,49.515,0.352435,-13.122000000000007
27221d03-c736-4924-acb6-900fd8a3c580,88.38,55.16,50.71,69.12,2.3,19.4,73.47,0.631,4,60.24,1,2,1,52.935,0.28031500000000004,7.675833333333337
e072347c-1f51-4c88-8431-5a6d1083bc40,92.08,80.2,73.35,72.83,3.45,25.8,79.84,0.264,2,77.54,1,3,3,76.775,0.182865,15.645714285714284
5afeaec5-0139-4739-a62e-36f29ad31a74,65.79,56.59,58.63,69.99,3.13,29.5,78.53,0.5730000000000001,5,67.05,1,0,3,57.61,0.35403999999999997,4.0179999999999865
3d65b366-3c94-4b55-af88-873c7dcc8ef1,93.79,83.67,77.27,71.87,3.43,24.0,94.49,0.196,6,79.25,1,3,3,80.47,0.16781999999999997,4.80285714285715
5980b9b9-1288-4aad-921d-9c6efb95e7e5,69.79,85.41,73.12,81.6,3.58,24.9,86.45,0.567,8,76.74,1,0,3,79.265,0.238245,18.917499999999997
264acdfc-60cd-4157-b94b-4e07e18212a3,71.45,62.89,60.95,66.96,2.86,25.1,84.33,0.457,8,65.86,1,0,2,61.92,0.32756,-5.186666666666667
6b1daf36-a339-49ac-b61f-3e6ac29f67c2,97.79,62.94,55.42,58.27,3.36,18.3,79.23,0.794,5,58.85,0,3,3,59.18,0.25648999999999994,-5.001428571428562
07f6c63c-04ff-4a6d-b94e-2e7dd04f4419,79.45,56.29,59.7,46.4,2.37,13.8,87.89,0.966,1,53.6,0,1,1,57.995000000000005,0.369015,-18.622000000000007
809d934c-728a-4faa-b6fb-59b80c3b64b1,98.26,54.23,59.36,53.88,2.64,21.4,84.95,0.7230000000000001,6,66.28,1,3,2,56.795,0.274935,-8.519999999999996
b7d5e94b-320a-4fa0-adcd-d182849d2206,66.81,70.23,72.82,65.05,4.0,22.5,82.86,0.273,8,66.45,1,0,3,71.525,0.323035,-5.185000000000002
8be90761-a80d-4d34-b4c9-0e636545d6ca,98.99,70.4,66.25,65.7,3.21,16.4,75.87,0.637,3,65.58,1,3,3,68.325,0.201965,-0.3224999999999909
4e899037-7c60-484b-857e-d60f46a5bc21,95.97,76.75,93.09125,94.50125,3.43,32.5,96.34,0.764,1,87.97875000000002,1,3,3,84.920625,0.077854375,30.961136363636363
3855c8ad-a854-4db4-9504-36073ac900d4,96.01,57.68,57.06,52.93,2.75,18.0,74.53,0.532,1,55.93,0,3,2,57.370000000000005,0.28506,-5.911111111111104
36773f1a-fb71-4092-91af-0a8c1f2f7d33,78.94,68.12,66.07,79.77,3.24,17.4,65.11,0.868,2,65.52,1,1,3,67.095,0.243645,7.097499999999997
eb8c24da-070c-4772-b597-c3cab78c2d15,73.18,64.34,70.81,56.99,3.23,28.2,78.29,0.521,5,65.0,1,0,3,67.575,0.3335849999999999,-10.499999999999993
29f977e8-403a-45cc-aacf-db4128df9f64,94.32,63.8,57.23,56.61,2.64,26.9,83.75,0.667,7,66.79,1,3,2,60.515,0.271345,-9.436000000000007
99e186fc-cad2-480c-97cd-c7be7e9de977,95.93,57.66,66.6,68.3,2.9,18.0,76.99,0.301,7,67.27,1,3,2,62.129999999999995,0.22498999999999994,2.1333333333333258
20edc20a-22b2-4218-8b1c-25efc1c2fb3c,78.69,73.53,65.77,74.26,3.37,30.8,72.75,0.327,6,75.24,1,1,3,69.65,0.25350999999999996,11.518888888888895
998e68e6-7118-4232-aac4-99c53f754c32,74.09,72.29,60.59,64.43,2.93,22.2,89.51,0.633,2,71.73,1,0,2,66.44,0.3110299999999999,6.595000000000006
0e951232-fb49-413a-959e-0e8e20d1153d,84.03,74.54,75.55,78.89,3.31,21.2,77.87,0.4009999999999999,5,73.44,1,2,3,75.045,0.202075,9.235
02c22f6b-1e7e-4393-87d6-606421078591,89.41,82.65,71.52,77.51,3.26,28.1,73.33,0.245,4,82.11,1,2,3,77.08500000000001,0.17857499999999996,11.329999999999998
e511ccd3-6cc2-40c7-af56-2a603d4725a0,74.05,69.96,57.24,65.0,2.83,16.9,78.23,0.355,7,64.35,1,0,2,63.599999999999994,0.31800000000000006,2.3116666666666674
f5b58b5e-5609-4521-a89e-4ac75aca05c8,83.94,65.63,66.82,64.6,2.78,19.7,81.55,0.737,6,65.01,1,2,2,66.225,0.27176500000000003,6.042499999999997
1c14a752-f9ec-4572-aff3-e51fd046c3e6,67.03,89.28,76.23,70.2,4.0,21.3,76.41,0.837,3,74.2,1,0,3,82.755,0.27301500000000006,6.83625
cb9b0fc8-cf7c-467f-8b76-3805f9169f1c,88.92,48.5,43.2,47.5,2.43,14.8,87.9,0.174,6,54.19,0,2,1,45.85,0.3642699999999999,-9.52666666666667
cda4653d-f63c-492c-bf7f-14b51fe5289f,95.38,65.77,63.94,60.07,3.27,19.2,89.31,0.771,3,63.54,1,3,3,64.85499999999999,0.24370500000000006,-2.9810000000000016
56cb556f-e403-49f7-b11a-30f8d46a7678,66.09,58.37,50.41,57.3,2.53,23.0,83.65,0.86,4,58.53,0,0,2,54.39,0.40057000000000004,-8.698000000000008
b2e826d8-1e81-4729-b850-8017fae4a60e,98.86,64.21,57.35,54.86,3.02,22.6,75.41,0.686,5,62.29,1,3,3,60.78,0.25764,-13.135000000000005
39d21919-33ab-48ba-8645-b1659ae286f7,74.41,62.93,56.21,57.2,2.63,20.7,74.49,0.64,8,63.33,1,0,2,59.57,0.35205,-6.537999999999997
aaa9999c-1600-45e0-9f17-fe623e24a1b2,98.34,75.22,75.69,69.23,3.39,19.1,77.41,0.534,4,73.19,1,3,3,75.455,0.172585,4.665000000000006
963e3de8-51c3-487a-8505-4077094ba89a,89.59,64.08,64.32,50.59,2.78,15.9,74.54,0.1709999999999999,6,64.76,1,2,2,64.19999999999999,0.29727000000000003,-19.83
45ecc64b-2d2c-403d-9b81-32dde60052d9,93.75,58.26,55.32,57.24,2.8,21.7,67.73,0.942,8,62.45,1,3,2,56.79,0.28291,-8.600000000000001
34deb5b1-d78b-4cf0-abb4-02594782590f,89.99,66.23,60.55,65.14,2.65,23.0,90.54,0.5740000000000001,2,73.03,1,2,2,63.39,0.25445,-1.7175000000000011
4928e2eb-34aa-4b56-bc9a-d65025c1fb29,85.76,59.73,71.4,50.81,3.07,21.0,84.57,0.49,8,65.05,1,2,3,65.565,0.30783499999999997,-9.041428571428575
c18c0391-d896-4a51-8129-36d482d23abf,82.44,82.6,80.85,81.55,3.86,21.1,71.82,0.128,1,76.86,1,1,3,81.725,0.18041500000000002,14.811428571428564
6fb981b0-7cf7-4836-be31-d1e58aee84bb,98.63,76.12,68.35,77.55,3.32,26.8,100.0,0.563,1,78.98,1,3,3,72.235,0.156125,6.1200000000000045
70d2bd45-2b89-4763-ae11-601c219b94bc,80.35,72.51,55.09,59.59,3.15,18.5,81.43,0.661,8,61.52,1,1,3,63.800000000000004,0.30843,4.605000000000004
bc5ba9b1-2c0b-4587-ae19-4145f5e42dad,92.16,80.21,63.78,62.88,3.64,24.2,74.37,0.493,6,69.89,1,3,3,71.995,0.22673499999999996,0.730000000000004
4a063195-9c41-4df2-a0cf-efb3dfac1499,95.48,59.52,79.02,62.52,3.17,30.5,71.04,0.3319999999999999,5,71.51,1,3,3,69.27,0.22270999999999996,1.7283333333333388
24f396df-00db-404e-8951-1fae521f3b4b,85.95,57.52,61.27,66.29,2.82,21.5,75.27,0.702,1,57.82,0,2,2,59.395,0.279145,1.1950000000000074
4f134ba5-404f-4d77-9585-ca76c070eb95,80.08,63.39,66.09,73.36,3.48,23.7,89.78,0.86,4,71.43,1,1,3,64.74000000000001,0.26538,7.361999999999995
71b298d7-3e89-4400-b627-76ff1bca001e,84.53,61.15,63.46,55.48,3.07,18.0,93.73,0.458,2,66.21,1,2,3,62.305,0.308525,-5.3940000000000055
92c16406-fb92-49a2-9297-6e1b89b12446,98.78,77.3,80.02,57.3,3.96,20.0,78.88,0.127,5,71.28,1,3,3,78.66,0.19700000000000004,-10.64
76904561-da84-42ad-8be0-a7faf1fdeaee,71.59,64.18,70.34,72.84,2.8,29.9,79.18,0.32,2,70.24,1,0,2,67.26,0.29333999999999993,8.747500000000002
1b8cc8ce-ae73-4f90-9b51-71c3f9b45659,95.41,63.11,62.84,63.93,2.44,23.5,85.35,0.454,5,62.83,1,3,1,62.975,0.23764500000000002,0.3509090909090915
431ce89c-37a5-4673-a80a-b07af72d6ef2,70.58,63.51,76.55,70.11,3.41,22.0,82.42,0.7889999999999999,4,64.78,1,0,3,70.03,0.29725999999999997,3.7922222222222217
f7af3781-7f4b-4262-8a25-3012710f285c,88.37,74.64,69.31,78.83,3.16,24.5,81.0,0.105,7,79.97,1,2,3,71.975,0.194105,12.416666666666657
61a50988-9da7-4527-b387-9b360bf3270c,84.72,83.86,68.83,86.08,4.0,25.6,80.33,0.252,6,77.99,1,2,3,76.345,0.17384500000000003,19.37222222222222
39b9b745-2cb7-4610-af6b-a693ee97f104,86.68,41.85,44.25,49.83,2.0,15.0,79.84,0.442,2,48.0,0,2,0,43.05,0.37464,-11.238571428571433
4e9c28f0-eeca-462a-aba6-473eaf3f7d9b,81.68,71.4,55.07,70.94,3.32,23.2,77.84,0.907,5,69.44,1,1,3,63.235,0.27075499999999997,2.8900000000000006
73d826a9-dfff-44fa-9b3d-74b9b3bd8c50,96.43,67.59,63.38,64.96,2.49,20.0,79.21,0.377,7,75.99,1,3,1,65.485,0.222945,-4.640000000000001
80de157f-d76f-4d31-8d1c-6550f9f5fb37,68.14,67.95,79.73,65.86,3.38,29.5,75.68,0.366,1,71.66,1,0,3,73.84,0.30833999999999995,3.3899999999999935
d112dfde-aa7e-4830-8c31-eb31f86cfe82,84.86,77.43,74.97,78.28,3.68,27.2,81.11,0.837,6,78.78,1,2,3,76.2,0.19712,14.916249999999998
b43d3ef9-a1af-412e-b7a9-c61d275c8561,87.63,67.13,63.66,69.87,3.21,24.2,73.14,0.759,4,64.32,1,2,3,65.395,0.243685,5.598571428571432
a8392ec8-9a08-4afe-9754-dfeb31e36432,79.83,59.81,53.7,70.39,2.31,24.0,82.48,0.877,7,59.37,0,1,1,56.755,0.299245,-2.1883333333333326
f27f0288-daa3-46c3-ac5f-e6c5d6893f1a,75.93,61.69,61.85,57.02,3.24,24.6,85.34,0.708,2,57.96,0,1,3,61.769999999999996,0.33991,-7.655000000000008
3002fb3c-e343-4ae6-8d4c-8f3e537a5c10,79.99,78.81,74.85,70.17,2.87,19.4,84.51,0.177,1,68.33,1,1,2,76.83,0.23904000000000003,12.482678571428579
d6838dc4-d582-468a-ac97-cd8c9448ac7f,77.84,84.21,70.98,86.39,3.55,28.5,81.57,0.344,8,76.86,1,1,3,77.595,0.19668499999999997,23.490000000000002
fcaf6fe4-dda8-4026-856a-c1bcf8eb4a54,87.78,49.59,52.61,38.38,2.61,17.3,83.35,0.154,4,59.51,0,2,2,51.1,0.38043999999999994,-24.485
ba779e12-5724-451c-a770-e62be37ae4ac,70.97,61.61,60.51,55.75,3.09,19.2,86.92,0.319,6,63.9,1,0,3,61.06,0.36569,-9.362857142857152
0d656153-89d1-4103-a894-7ba97ee9d885,83.23,59.37,54.94,59.3,2.79,23.4,84.66,0.133,1,62.26,1,2,2,57.155,0.31771499999999997,-12.314000000000007
434c0b60-15cd-497e-b82e-ba8531c82f68,78.33,47.58,49.41,60.42,2.47,16.8,83.59,0.617,4,55.06,0,1,1,48.495,0.35993499999999995,-2.4599999999999937
0865d952-8017-41a0-8399-db53d8d74a19,94.8,66.96,71.34,64.52,3.06,26.5,82.57,0.374,1,70.48,1,3,3,69.15,0.21978999999999999,-8.096000000000004
b77cc91f-8f37-4147-9ce2-2ec33978abc7,98.51,65.94,61.93,56.3,3.51,18.8,71.81,0.908,6,64.02,1,3,3,63.935,0.245255,-3.272500000000001
11d10619-1981-423d-86e3-e29d38c33809,71.12,40.76,37.64,33.71125000000001,2.04,15.6,80.43,0.381,6,44.13,0,0,1,39.2,0.49678625,-26.643906249999993
a58ad6db-1b8e-4b2b-9f23-c1436dc3ce7c,94.8,64.13,78.18,78.42,2.61,20.0,79.37,0.779,7,67.99,1,3,2,71.155,0.172075,2.9200000000000017
3beab038-bdd3-4c7b-b2af-0d759679d027,89.33,58.87,57.64,60.07,2.74,25.1,80.02,0.654,4,65.19,1,2,2,58.254999999999995,0.287705,-1.2099999999999937
bd7b26d9-54ec-409f-aba7-6cb46a7a2bb0,94.68,61.84,59.71,65.89,2.2,18.1,64.45,0.259,5,73.29,1,3,1,60.775000000000006,0.24128499999999994,-1.8019999999999925
8990533d-fd01-48a7-a1bd-11461a6a7bdb,91.93,65.15,63.39,64.81,3.2,17.7,73.63,0.5820000000000001,1,68.37,1,3,3,64.27000000000001,0.2450399999999999,-0.2012500000000017
1cc7d7a1-4aff-45d5-81e3-fd753aa9f270,87.03,60.5,58.25,64.86,2.35,21.3,74.5,0.214,2,63.86,1,2,1,59.375,0.27917499999999995,-3.6000000000000085
5c7e8154-9036-4fd6-bd95-7f8c8c9c8481,76.36,70.96,55.29,52.29,3.32,27.2,78.33,0.96,1,62.38,1,1,3,63.125,0.34831500000000004,-7.5760000000000005
977ea0a2-4810-419c-a141-d62b79ded6e6,93.31,67.01,65.46,66.41,3.07,26.6,79.85,0.448,6,74.25,1,3,3,66.235,0.228825,-1.2219999999999942
f59cbf44-3d1f-434e-a77d-835935823327,87.28,60.67,53.12,58.96,2.71,23.3,93.78,0.1379999999999999,1,67.96,1,2,2,56.894999999999996,0.303315,4.993125000000006
695db9fe-d0b5-41b2-8731-b962855372e4,93.07,65.34,78.19,78.51,3.46,31.6,71.39,0.595,6,70.05,1,3,3,71.765,0.17689500000000002,2.469999999999999
5536af64-c526-4ce6-848d-3310923be5cb,91.75,71.44,67.82,83.75,3.27,26.4,77.99,0.7969999999999999,1,74.09,1,3,3,69.63,0.17286,21.18181818181818
6da286b2-e9f3-45f9-b472-ef3ec7b84599,96.35,68.22,69.69,65.09,3.17,23.7,80.33,0.655,2,72.53,1,3,3,68.955,0.21246500000000001,2.510000000000005
768000bd-58a9-449f-bf94-78735fa53776,69.48,66.88,65.18,60.61,2.66,25.3,64.42,0.949,6,61.92,1,0,2,66.03,0.34215999999999996,-7.555000000000007
