attendance_percentage,midterm_score,historical_gpa,study_hours_per_week,subject_difficulty_score,ca_avg,rule_risk_score,final_score,pass_fail
96.87,90.33,3.97,26.7,0.16,80.47,0.1001199999999999,85.96,1
99.3,50.1,2.19,13.4,0.411,44.49,0.31903,54.58,0
99.06,73.19,3.71,23.1,0.581,74.625,0.160315,73.5,1
72.22,64.03,3.13,17.2,0.8859999999999999,57.865,0.345435,60.63,1
83.78,65.87,3.44,25.5,0.86,65.24,0.27155,64.46,1
83.62,64.36,2.67,16.0,0.39,57.26,0.30066,61.4,1
73.16,62.97,2.19,20.1,0.602,49.245000000000005,0.370715,60.22,1
80.11,52.43,2.21,27.9,0.645,62.620000000000005,0.3344099999999999,62.98,1
94.78,43.56,2.13,19.9,0.5820000000000001,48.14,0.34578,58.22,0
74.8,46.29,2.18,15.9,0.65,57.085,0.390675,55.35,0
97.62,52.87,2.0,21.0,0.716,56.68,0.28087,60.74,1
73.91,88.62,2.88,30.7,0.8480000000000001,73.805,0.2170849999999999,76.63,1
99.68,65.68,3.0,16.3,0.775,61.305,0.2203249999999999,67.2,1
70.73,79.31,3.38,22.0,0.835,66.39,0.2799799999999999,68.97,1
86.84,56.36,3.37,21.8,0.306,65.945,0.285725,65.71,1
69.09,62.09,3.17,23.3,0.905,63.63,0.3464799999999999,65.85,1
70.01,79.77,3.24,19.1,0.511,68.99000000000001,0.2736799999999999,69.41,1
78.91,54.09,3.02,24.0,0.588,62.955,0.333225,67.2,1
98.57,59.22,2.92,24.9,0.753,65.5,0.23156,65.83,1
97.62,85.52,3.77,28.2,0.482,85.10499999999999,0.097645,80.87,1
71.52,52.07,2.52,22.7,0.285,59.855,0.378145,59.58,0
65.16,53.24,2.14,23.2,0.507,50.975,0.426715,55.89,0
70.79,44.36,2.11,19.0,0.602,49.535,0.4351549999999999,53.39,0
67.99,63.7,2.72,27.7,0.285,61.44,0.35262,61.06,1
94.28,80.9,4.0,26.5,0.7889999999999999,77.35499999999999,0.148115,66.12,1
71.37,60.14,2.64,13.0,0.3,45.545,0.3974649999999999,55.43,0
85.83,51.9,2.65,22.0,0.966,49.515,0.352435,57.88,0
88.38,69.12,2.3,19.4,0.631,52.935,0.280315,60.24,1
92.08,72.83,3.45,25.8,0.264,76.775,0.182865,77.54,1
65.79,69.99,3.13,29.5,0.5730000000000001,57.61,0.3540399999999999,67.05,1
93.79,71.87,3.43,24.0,0.196,80.47,0.1678199999999999,79.25,1
69.79,81.6,3.58,24.9,0.567,79.265,0.238245,76.74,1
71.45,66.96,2.86,25.1,0.457,61.92,0.32756,65.86,1
97.79,58.27,3.36,18.3,0.794,59.18,0.2564899999999999,58.85,0
79.45,46.4,2.37,13.8,0.966,57.995000000000005,0.369015,53.6,0
98.26,53.88,2.64,21.4,0.7230000000000001,56.795,0.274935,66.28,1
66.81,65.05,4.0,22.5,0.273,71.525,0.323035,66.45,1
98.99,65.7,3.21,16.4,0.637,68.325,0.201965,65.58,1
95.97,94.50125,3.43,32.5,0.764,84.920625,0.077854375,87.97875000000002,1
96.01,52.93,2.75,18.0,0.532,57.370000000000005,0.28506,55.93,0
78.94,79.77,3.24,17.4,0.868,67.095,0.243645,65.52,1
73.18,56.99,3.23,28.2,0.521,67.575,0.3335849999999999,65.0,1
94.32,56.61,2.64,26.9,0.667,60.515,0.271345,66.79,1
95.93,68.3,2.9,18.0,0.301,62.13,0.2249899999999999,67.27,1
78.69,74.26,3.37,30.8,0.327,69.65,0.2535099999999999,75.24,1
74.09,64.43,2.93,22.2,0.633,66.44,0.3110299999999999,71.73,1
84.03,78.89,3.31,21.2,0.4009999999999999,75.045,0.202075,73.44,1
89.41,77.51,3.26,28.1,0.245,77.08500000000001,0.1785749999999999,82.11,1
74.05,65.0,2.83,16.9,0.355,63.6,0.318,64.35,1
83.94,64.6,2.78,19.7,0.737,66.225,0.271765,65.01,1
67.03,70.2,4.0,21.3,0.837,82.755,0.273015,74.2,1
88.92,47.5,2.43,14.8,0.174,45.85,0.3642699999999999,54.19,0
95.38,60.07,3.27,19.2,0.771,64.85499999999999,0.243705,63.54,1
66.09,57.3,2.53,23.0,0.86,54.39,0.40057,58.53,0
98.86,54.86,3.02,22.6,0.686,60.78,0.25764,62.29,1
74.41,57.2,2.63,20.7,0.64,59.57,0.35205,63.33,1
98.34,69.23,3.39,19.1,0.534,75.455,0.172585,73.19,1
89.59,50.59,2.78,15.9,0.1709999999999999,64.19999999999999,0.29727,64.76,1
93.75,57.24,2.8,21.7,0.942,56.79,0.28291,62.45,1
89.99,65.14,2.65,23.0,0.5740000000000001,63.39,0.25445,73.03,1
85.76,50.81,3.07,21.0,0.49,65.565,0.3078349999999999,65.05,1
82.44,81.55,3.86,21.1,0.128,81.725,0.180415,76.86,1
98.63,77.55,3.32,26.8,0.563,72.235,0.156125,78.98,1
80.35,59.59,3.15,18.5,0.661,63.8,0.30843,61.52,1
92.16,62.88,3.64,24.2,0.493,71.995,0.2267349999999999,69.89,1
95.48,62.52,3.17,30.5,0.3319999999999999,69.27,0.2227099999999999,71.51,1
85.95,66.29,2.82,21.5,0.702,59.395,0.279145,57.82,0
80.08,73.36,3.48,23.7,0.86,64.74000000000001,0.26538,71.43,1
84.53,55.48,3.07,18.0,0.458,62.305,0.308525,66.21,1
98.78,57.3,3.96,20.0,0.127,78.66,0.197,71.28,1
71.59,72.84,2.8,29.9,0.32,67.26,0.2933399999999999,70.24,1
95.41,63.93,2.44,23.5,0.454,62.975,0.237645,62.83,1
70.58,70.11,3.41,22.0,0.7889999999999999,70.03,0.2972599999999999,64.78,1
88.37,78.83,3.16,24.5,0.105,71.975,0.194105,79.97,1
84.72,86.08,4.0,25.6,0.252,76.345,0.173845,77.99,1
86.68,49.83,2.0,15.0,0.442,43.05,0.37464,48.0,0
81.68,70.94,3.32,23.2,0.907,63.235,0.2707549999999999,69.44,1
96.43,64.96,2.49,20.0,0.377,65.485,0.222945,75.99,1
68.14,65.86,3.38,29.5,0.366,73.84,0.3083399999999999,71.66,1
84.86,78.28,3.68,27.2,0.837,76.2,0.19712,78.78,1
87.63,69.87,3.21,24.2,0.759,65.395,0.243685,64.32,1
79.83,70.39,2.31,24.0,0.877,56.755,0.299245,59.37,0
75.93,57.02,3.24,24.6,0.708,61.77,0.33991,57.96,0
79.99,70.17,2.87,19.4,0.177,76.83,0.23904,68.33,1
77.84,86.39,3.55,28.5,0.344,77.595,0.1966849999999999,76.86,1
87.78,38.38,2.61,17.3,0.154,51.1,0.3804399999999999,59.51,0
70.97,55.75,3.09,19.2,0.319,61.06,0.36569,63.9,1
83.23,59.3,2.79,23.4,0.133,57.155,0.3177149999999999,62.26,1
78.33,60.42,2.47,16.8,0.617,48.495,0.3599349999999999,55.06,0
94.8,64.52,3.06,26.5,0.374,69.15,0.2197899999999999,70.48,1
98.51,56.3,3.51,18.8,0.908,63.935,0.245255,64.02,1
71.12,33.71125000000001,2.04,15.6,0.381,39.2,0.49678625,44.13,0
94.8,78.42,2.61,20.0,0.779,71.155,0.172075,67.99,1
89.33,60.07,2.74,25.1,0.654,58.255,0.287705,65.19,1
94.68,65.89,2.2,18.1,0.259,60.775000000000006,0.2412849999999999,73.29,1
91.93,64.81,3.2,17.7,0.5820000000000001,64.27000000000001,0.2450399999999999,68.37,1
87.03,64.86,2.35,21.3,0.214,59.375,0.2791749999999999,63.86,1
76.36,52.29,3.32,27.2,0.96,63.125,0.348315,62.38,1
93.31,66.41,3.07,26.6,0.448,66.235,0.228825,74.25,1
87.28,58.96,2.71,23.3,0.1379999999999999,56.895,0.303315,67.96,1
93.07,78.51,3.46,31.6,0.595,71.765,0.176895,70.05,1
91.75,83.75,3.27,26.4,0.7969999999999999,69.63,0.17286,74.09,1
96.35,65.09,3.17,23.7,0.655,68.955,0.212465,72.53,1
69.48,60.61,2.66,25.3,0.949,66.03,0.3421599999999999,61.92,1
82.36,67.06,3.33,24.3,0.981,69.17999999999999,0.2618400000000001,68.18,1
90.5,63.63,3.35,28.2,0.292,75.24,0.22139,72.09,1
79.47,49.77,2.63,15.7,0.889,59.79,0.35344,54.54,0
70.6,55.1,3.23,18.1,0.6,62.80500000000001,0.363885,60.98,1
89.08,83.48,3.47,29.8,0.7110000000000001,72.655,0.175275,79.39,1
70.21,67.56,3.32,22.8,0.471,73.045,0.297345,68.43,1
78.57,70.66,2.8,16.4,0.148,62.185,0.2871849999999999,63.79,1
88.68,66.74,3.02,23.7,0.8099999999999999,61.84,0.25954,58.35,0
69.28,62.98,3.05,27.3,0.369,66.06,0.33576,69.56,1
79.74,69.94,3.35,26.4,0.629,76.41499999999999,0.241975,74.45,1
70.79,73.62,3.19,28.2,0.4389999999999999,69.54,0.2873599999999999,71.79,1
71.51,61.0,2.93,22.0,0.493,62.14,0.3445399999999999,61.03,1
78.96,54.85,2.52,25.4,0.486,62.93000000000001,0.33082,64.13,1
92.18,70.32,3.16,16.2,0.697,57.870000000000005,0.2467099999999999,67.47,1
92.57,56.61,2.97,19.5,0.971,68.215,0.255245,64.54,1
68.99,56.11,3.08,16.5,0.874,59.175,0.378185,63.37,1
84.21,65.02,3.38,18.3,0.188,64.88,0.27346,68.13,1
79.41,65.52,3.16,18.2,0.808,75.15,0.26035,71.69,1
84.07,55.08,2.94,18.5,0.776,65.58,0.30174,64.49,1
65.95,67.3,2.63,24.4,0.8400000000000001,60.26,0.35352,61.5,1
71.85,49.1,2.24,22.2,0.602,56.605,0.395485,58.1,0
76.09,62.94,3.43,16.3,0.8939999999999999,57.35,0.3347699999999999,55.58,0
99.59,71.39,3.78,31.7,0.184,74.73500000000001,0.1632649999999999,76.34,1
90.18,59.11,3.15,18.2,0.524,60.5,0.2804499999999999,59.65,0
73.9,64.04,3.45,20.1,0.478,74.08500000000001,0.2900249999999999,67.09,1
77.18,88.35,3.93,26.0,0.981,81.035,0.183125,75.85,1
65.13,61.24,2.55,17.2,0.787,55.095,0.390475,55.53,0
87.86,76.74,3.34,25.0,0.2,70.695,0.206255,71.09,1
78.36,57.69,3.13,14.8,0.97,55.68,0.34645,56.13,0
95.04,74.12,2.88,28.0,0.353,72.28999999999999,0.18061,72.1,1
69.21,60.92,2.67,19.1,0.639,59.64,0.3614799999999999,57.96,0
96.6,71.06,3.35,17.5,0.625,75.025,0.175345,73.1,1
88.06,88.51,3.51,26.2,0.407,74.41999999999999,0.15897,77.24,1
80.52,83.98,3.65,21.2,0.446,86.60499999999999,0.166165,77.78,1
99.43,49.78,2.07,23.6,0.505,45.48,0.3165,52.76,0
81.87,64.51,3.08,17.2,0.297,63.415000000000006,0.288745,63.82,1
81.2,68.51,3.24,21.5,0.836,67.215,0.2680249999999999,68.73,1
77.08,73.67,3.19,24.1,0.47,78.64,0.23475,69.22,1
88.61,77.75,3.46,18.5,0.6990000000000001,73.365,0.192215,73.76,1
80.97,52.62,2.73,22.6,0.7110000000000001,59.365,0.340165,60.76,1
82.58,81.02,3.56,25.1,0.579,71.535,0.212015,76.86,1
82.01,52.77,3.1,23.2,0.861,60.215,0.3330049999999999,58.74,0
67.72,64.72,3.54,23.6,0.783,75.765,0.307665,65.47,1
76.16,50.67,2.0,13.8,0.487,53.875,0.381725,56.12,0
83.1,63.25,3.19,28.0,0.622,70.66,0.26587,70.76,1
80.89,56.23,2.77,19.1,0.135,56.915,0.337005,61.1,1
78.84,64.38,3.25,28.6,0.5269999999999999,67.75,0.2882499999999999,62.99,1
86.1,37.6,2.36,19.3,0.786,48.650000000000006,0.39685,49.5,0
93.94,87.38,3.4,21.5,0.249,74.83500000000001,0.137595,82.59,1
69.87,81.18,4.0,29.0,0.281,73.4,0.2567799999999999,76.58,1
89.88,60.61,2.29,16.3,0.152,72.97,0.23974,74.72,1
74.65,64.61,2.97,20.6,0.357,59.515,0.3290249999999999,58.64,0
86.2,86.43,3.86,26.6,0.632,84.095,0.1436249999999999,78.96,1
98.46,70.75,3.05,23.7,0.934,64.16499999999999,0.201415,73.06,1
87.56,70.44,3.66,27.4,0.162,70.805,0.226025,70.38,1
91.37,74.53,3.01,24.0,0.1699999999999999,76.7,0.1808299999999999,78.29,1
87.12,49.24,2.41,13.0,0.53,54.265,0.3410049999999999,58.02,0
67.55,41.68,2.52,16.3,0.529,44.08,0.4725199999999999,43.87,0
66.18,60.88,3.23,26.0,0.8390000000000001,60.375,0.371515,64.01,1
67.51,55.5,2.56,20.1,0.229,56.58,0.39372,58.07,0
70.55,72.78,3.54,22.2,0.634,77.3,0.26756,74.51,1
67.19,68.82,2.89,28.9,0.382,66.38499999999999,0.325625,61.6,1
97.77,54.83,2.28,25.2,0.225,54.815,0.279985,67.06,1
89.96,73.19,3.09,24.8,0.143,64.985,0.225635,64.29,1
95.3,72.86,3.13,16.0,0.597,63.495000000000005,0.2097349999999999,68.67,1
94.76,70.99,3.41,25.4,0.366,71.805,0.1925749999999999,73.55,1
81.39,61.56,2.71,25.9,0.19,59.785,0.310405,70.19,1
65.51,33.71125000000001,2.54,20.1,0.109,45.010000000000005,0.5017962499999999,51.07,0
80.92,54.22,2.76,19.7,0.492,55.455,0.347295,56.87,0
75.27,55.7,3.04,27.3,0.121,65.42,0.3355599999999999,67.26,1
75.19,76.38,3.6,31.0,0.154,72.11500000000001,0.253755,81.53,1
67.02,63.96,2.98,19.1,0.6599999999999999,67.14500000000001,0.3386049999999999,59.52,0
99.36,59.55,2.25,24.3,0.752,60.75,0.24166,66.57,1
96.15,75.08,2.33,21.7,0.712,61.885,0.204505,70.93,1
91.63,80.67,2.56,27.7,0.7070000000000001,64.825,0.196995,72.89,1
99.34,72.22,3.01,24.8,0.1659999999999999,72.12,0.1696199999999999,76.03,1
77.43,77.33,3.17,27.9,0.512,72.845,0.2397549999999999,70.31,1
70.69,77.31,3.2,23.7,0.8630000000000001,76.82499999999999,0.254835,70.2,1
73.6,70.62,3.45,24.5,0.182,72.13499999999999,0.277335,72.26,1
97.14,63.13,3.11,20.9,0.6910000000000001,72.03999999999999,0.20593,70.22,1
73.0,79.71,3.07,24.9,0.8560000000000001,68.5,0.26337,65.72,1
77.36,70.99,2.44,23.2,0.268,64.24000000000001,0.28487,66.78,1
87.26,64.9,3.3,17.4,0.417,60.28,0.2754199999999999,67.47,1
70.31,54.08,3.2,17.0,0.976,65.245,0.3607849999999999,59.85,0
66.82,65.99,3.28,21.0,0.906,57.18000000000001,0.36321,64.09,1
89.94,59.03,2.58,22.6,0.6950000000000001,64.53999999999999,0.26953,70.89,1
65.72,62.38,2.32,21.1,0.669,53.75,0.38873,57.78,0
91.57,66.42,3.29,22.1,0.929,58.05,0.26031,63.96,1
66.82,56.38,3.06,17.4,0.492,59.875,0.383955,62.85,1
82.37,58.85,2.4,24.3,0.11,55.415000000000006,0.3277249999999999,66.34,1
68.41,68.17,3.66,23.9,0.534,73.565,0.301155,65.64,1
71.27,63.79,2.72,27.9,0.705,66.38499999999999,0.324395,64.26,1
97.74,58.9,2.63,15.1,0.47,60.77,0.25003,61.63,1
76.69,47.38,2.35,15.2,0.437,60.620000000000005,0.3692399999999999,57.26,0
92.33,68.33,3.01,29.5,0.981,73.66,0.20471,69.5,1
90.83,48.94,2.43,20.7,0.3419999999999999,61.395,0.305675,67.61,1
70.04,78.29,2.97,23.1,0.6769999999999999,65.395,0.2887849999999999,65.14,1
98.78,82.89,2.95,25.7,0.8789999999999999,73.50999999999999,0.13568,75.09,1
86.43,55.83,2.38,18.6,0.946,55.94,0.31897,60.68,1
78.97,59.35,2.88,20.7,0.333,59.565,0.3273749999999999,54.4,0
99.87,78.9,3.51,20.1,0.145,69.225,0.1561449999999999,77.66,1
65.48,50.03,2.6,23.6,0.646,51.18,0.43445,48.71,0
76.66,64.94,3.47,29.3,0.3279999999999999,77.16,0.26706,65.84,1
83.25,67.15,2.36,20.3,0.906,61.925,0.279775,67.02,1
87.33,55.54,2.88,25.6,0.807,66.33500000000001,0.285055,56.95,0
65.77,58.68,2.81,24.6,0.3339999999999999,57.83,0.38739,62.11,1
92.53,63.77,2.46,13.7,0.5980000000000001,60.215,0.2579249999999999,65.5,1
77.49,79.85,3.05,25.1,0.947,70.805,0.238075,71.6,1
67.72,68.7,2.86,26.8,0.473,61.455,0.338655,58.45,0
86.37,63.67,3.02,19.3,0.102,68.635,0.2576049999999999,73.27,1
75.39,74.52,2.84,27.8,0.624,61.43,0.29059,64.93,1
83.17,47.15,2.13,25.1,0.655,52.9,0.36717,61.28,1
95.5,56.18,2.93,19.1,0.12,64.005,0.257445,72.58,1
69.04,51.57,2.26,18.9,0.906,52.775,0.410805,55.87,0
95.01,76.74,3.62,28.5,0.728,80.635,0.1478349999999999,80.36,1
94.26,67.78,3.03,19.3,0.869,65.225,0.2239449999999999,67.07,1
79.34,63.67,2.77,18.3,0.591,60.24,0.31091,64.39,1
67.59,78.0,3.26,23.7,0.162,67.77000000000001,0.29233,65.12,1
66.59,55.91,2.24,23.6,0.186,50.66,0.41393,54.65,0
84.19,81.57,3.19,28.1,0.658,80.65,0.17658,82.85,1
77.14,56.98,2.05,19.0,0.587,50.23,0.3698099999999999,58.23,0
70.48,76.5,3.38,23.1,0.482,77.00999999999999,0.25755,74.97,1
84.53,61.8,2.69,30.5,0.58,70.86,0.2639,64.86,1
97.87,48.48,2.05,20.3,0.3379999999999999,54.43,0.29979,62.95,1
81.15,66.72,3.02,23.3,0.9,73.25,0.25549,63.61,1
84.51,63.55,2.89,27.9,0.997,66.875,0.270685,67.95,1
93.44,55.21,2.44,27.6,0.172,65.835,0.263105,68.41,1
73.12,88.25,3.8,26.8,0.623,79.93,0.2029799999999999,81.99,1
88.66,78.87,3.35,22.8,0.67,70.75999999999999,0.19647,69.35,1
99.85,72.73,3.8,26.3,0.436,73.5,0.16191,76.07,1
66.9,69.52,3.0,27.3,0.284,69.155,0.3163749999999999,72.69,1
80.93,81.22,3.6,28.7,0.965,75.71000000000001,0.2054899999999999,76.21,1
95.86,62.99,3.07,26.0,0.732,71.435,0.2132849999999999,68.3,1
79.82,69.59,3.22,20.2,0.8220000000000001,61.395,0.287765,61.64,1
89.19,56.68,2.42,20.1,0.903,67.33,0.27121,62.49,1
67.98,52.17,2.15,15.7,0.251,54.515,0.4080249999999999,57.05,0
70.81,55.74,3.13,16.3,0.418,61.06,0.3663599999999999,62.69,1
67.19,62.87,3.19,21.4,0.607,65.66,0.34565,62.47,1
92.32,52.58,2.75,25.9,0.354,49.32,0.32502,59.11,0
81.05,73.4,3.05,24.3,0.8560000000000001,76.39,0.2264299999999999,72.79,1
81.48,67.31,3.19,16.7,0.729,68.075,0.2679249999999999,66.42,1
91.69,72.59,3.51,18.4,0.597,67.7,0.21237,66.87,1
69.61,72.01,3.71,23.6,0.619,71.815,0.290085,71.71,1
84.99,68.31,2.84,26.1,0.8160000000000001,57.99,0.28114,64.37,1
83.27,56.41,2.75,12.7,0.339,54.53,0.3341,55.69,0
77.29,59.42,3.02,22.0,0.52,59.085,0.335325,64.32,1
91.61,78.7,3.77,28.9,0.787,84.88,0.14282,80.69,1
76.91,92.15,3.77,22.2,0.596,86.66499999999999,0.155915,82.83,1
72.54,71.31,3.29,20.3,0.65,64.11,0.3035799999999999,66.88,1
78.72,63.28,2.93,26.8,0.449,58.33,0.3202899999999999,69.08,1
80.09,46.11,2.41,18.4,0.688,55.06,0.37613,61.79,1
76.11,60.91,3.39,24.9,0.991,65.795,0.315445,62.36,1
75.96,51.07,2.7,17.1,0.346,60.41,0.36172,57.23,0
98.88,56.92,3.35,26.0,0.62,59.735,0.254515,64.07,1
97.95,60.1,2.98,24.5,0.782,66.795,0.2275149999999999,70.36,1
75.99,50.04,2.24,24.2,0.208,54.725,0.381745,54.7,0
88.88,53.69,3.35,20.5,0.195,70.57,0.2717,67.01,1
84.83,65.75,3.22,25.3,0.518,68.31,0.2585,69.74,1
72.92,60.59,3.05,25.2,0.8109999999999999,56.855,0.355985,59.64,0
75.37,62.03,2.96,21.8,0.304,63.17,0.3229199999999999,61.21,1
89.11,64.1,3.17,17.2,0.851,69.4,0.2430599999999999,66.09,1
81.87,57.08,2.64,20.9,0.373,64.84,0.3067599999999999,65.05,1
86.06,61.91,2.26,22.2,0.86,58.785,0.293675,62.09,1
79.62,69.45,3.0,23.8,0.4629999999999999,64.93,0.2783799999999999,66.9,1
80.34,75.23,3.41,18.9,0.601,64.81,0.2585199999999999,64.14,1
93.96,66.43,3.44,28.2,0.298,60.27,0.24406,68.96,1
78.29,56.06,2.5,15.0,0.5,52.915000000000006,0.3599149999999999,60.64,1
70.13,71.46,3.23,19.6,0.86,66.97,0.30419,59.7,0
96.56,76.64,3.17,26.1,0.311,70.13,0.17345,78.1,1
77.1,77.19,3.18,31.4,0.123,74.66,0.23605,76.63,1
80.08,50.28,2.0,24.6,0.609,47.870000000000005,0.3852299999999999,56.35,0
91.5,59.15,2.48,25.3,0.934,54.795,0.292165,60.45,1
95.03,70.19,2.62,20.7,0.156,67.03,0.20822,71.44,1
89.83,56.77,3.12,28.0,0.825,71.475,0.255945,64.47,1
68.07,48.52,2.3,18.3,0.783,53.96,0.42028,55.44,0
76.7,63.02,3.42,19.6,0.2339999999999999,64.79,0.30977,63.0,1
69.39,35.61,2.5,22.3,0.381,46.97,0.4747,45.73,0
73.05,52.32,2.63,17.6,0.241,51.13,0.39745,54.17,0
66.22,70.74,2.77,22.8,0.502,56.37,0.35379,66.4,1
76.56,77.9,3.87,19.0,0.837,77.235,0.228355,69.38,1
71.83,34.85,2.0,14.9,0.184,38.04,0.49401,44.97,0
94.64,85.97,3.67,24.4,0.348,78.41499999999999,0.128285,81.56,1
98.01,54.72,3.02,23.6,0.731,63.1,0.2545,63.86,1
90.7,65.52,2.73,16.4,0.333,57.355,0.268575,68.61,1
88.55,70.94,3.06,20.9,0.249,68.955,0.2261149999999999,75.36,1
82.51,52.86,2.38,15.8,0.5730000000000001,51.585,0.3566249999999999,58.22,0
86.51,58.47,2.78,26.8,0.498,58.085,0.304295,62.11,1
90.51,80.49,3.21,24.0,0.756,68.425,0.1912149999999999,74.58,1
65.48,67.4,2.88,20.2,0.532,56.085,0.367625,55.92,0
68.38,78.48,3.18,24.6,0.705,72.78,0.2727,74.83,1
77.76,72.46,2.98,21.2,0.995,76.38999999999999,0.24241,73.76,1
86.67,62.35,2.67,27.4,0.197,59.3,0.2883699999999999,63.34,1
92.0,55.83,2.68,14.6,0.939,60.86,0.2819299999999999,59.78,0
82.43,44.48,2.97,18.1,0.6769999999999999,59.025000000000006,0.3597649999999999,55.65,0
97.96,73.87,3.7,31.4,0.708,82.315,0.139605,80.63,1
79.43,68.07,2.99,23.1,0.246,63.605,0.287255,64.21,1
68.99,58.02,3.61,21.2,0.757,63.540000000000006,0.35936,55.59,0
98.41,75.94,2.41,17.5,0.453,66.765,0.178245,70.82,1
89.44,58.96,2.62,18.8,0.633,59.21,0.28773,64.93,1
78.87,49.59,2.4,26.4,0.78,55.465,0.3693549999999999,54.03,0
76.03,67.29,2.65,20.2,0.8220000000000001,57.915,0.3202649999999999,57.98,0
83.07,83.14,3.03,23.4,0.6799999999999999,70.785,0.205945,72.21,1
91.32,48.28,2.14,19.3,0.501,49.370000000000005,0.34177,58.76,0
79.49,67.48,3.3,18.5,0.154,62.835,0.291095,65.83,1
94.3,76.8,3.14,21.4,0.869,71.095,0.179115,74.98,1
81.92,67.61,3.92,30.0,0.602,73.705,0.2483749999999999,75.6,1
96.6,76.16,2.65,23.2,0.986,68.16,0.18064,71.32,1
69.31,48.0,2.16,19.3,0.1689999999999999,48.975,0.431835,57.04,0
79.48,60.13,2.66,15.7,0.146,64.55,0.3080399999999999,63.31,1
92.91,69.91,3.11,21.8,0.8039999999999999,77.66499999999999,0.185635,76.4,1
98.66,63.35,2.7,21.3,0.758,60.825,0.232835,67.59,1
94.14,66.48,3.02,23.9,0.462,70.485,0.212545,68.58,1
87.15,64.24,2.69,20.9,0.731,66.655,0.258715,64.54,1
77.52,70.69,4.0,22.3,0.768,82.14500000000001,0.231415,73.89,1
66.52,43.35,2.71,14.5,0.496,47.66,0.4608899999999999,49.1,0
74.15,81.5,3.71,24.1,0.761,71.87,0.2432899999999999,69.47,1
69.5,54.62,2.72,18.5,0.545,58.68000000000001,0.3820999999999999,59.81,0
